minute,bid,ask
1740787200,84306.58755274261,84306.6883966245
1740787260,84256.04511718763,84256.14785156253
1740787320,84237.35571095583,84237.45571095581
1740787380,84232.68374717834,84232.78374717849
1740787440,84284.76782608703,84284.86869565224
1740787500,84295.62233606578,84295.72418032796
1740787560,84327.76843220355,84327.86843220334
1740787620,84336.8044843052,84336.90605381172
1740787680,84353.12494481249,84353.22494481243
1740787740,84366.18820861698,84366.29047619046
1740787800,84369.23697104688,84369.33830734961
1740787860,84401.43474576269,84401.53580508464
1740787920,84417.0376391984,84417.14031180413
1740787980,84433.89728506794,84433.99728506789
1740788040,84460.10023529422,84460.20047058823
1740788100,84541.44853228952,84541.55675146753
1740788160,84519.06883365216,84519.16940726576
1740788220,84503.03673469399,84503.16408163261
1740788280,84456.32799188646,84456.42860040569
1740788340,84443.04449541292,84443.14633027534
1740788400,84409.8197149644,84409.9209026127
1740788460,84418.04312896416,84418.14397463006
1740788520,84368.81197007497,84368.91197007471
1740788580,84384.1654028438,84384.2834123223
1740788640,84399.94127659583,84400.04127659579
1740788700,84349.5461368653,84349.6461368652
1740788760,84329.51118881129,84329.61118881112
1740788820,84291.00136986292,84291.101369863
1740788880,84279.7191646193,84279.8230958231
1740788940,84249.59978401709,84249.69978401718
1740789000,84223.57685774965,84223.6768577494
1740789060,84206.2220930233,84206.32209302328
1740789120,84174.178601695,84174.2800847458
1740789180,84169.35072164937,84169.45237113399
1740789240,84131.44826086963,84131.5523913044
1740789300,84202.73522504898,84202.83522504891
1740789360,84176.21781970658,84176.31928721158
1740789420,84119.97633744856,84120.07633744836
1740789480,84106.8667368422,84106.96673684214
1740789540,84084.51777301943,84084.61777301929
1740789600,84068.55103448278,84068.65149425271
1740789660,84049.03210161677,84049.13210161656
1740789720,84014.41057692314,84014.51057692294
1740789780,84021.70859030838,84021.81233480174
1740789840,84091.54364035086,84091.64605263143
1740789900,84132.43677884617,84132.53701923056
1740789960,84124.32995391724,84124.43433179728
1740790020,84123.40196506563,84123.50196506549
1740790080,84071.75371900816,84071.85454545435
1740790140,84022.16485260759,84022.26485260768
1740790200,84012.95095693789,84013.05095693786
1740790260,83926.47064220173,83926.57192660554
1740790320,83894.68952772088,83894.79527720748
1740790380,83878.12112970723,83878.23786610864
1740790440,83848.89145129213,83848.99165009946
1740790500,83820.82682926836,83820.92682926815
1740790560,83792.43778234097,83792.546406571
1740790620,83833.63492063497,83833.73571428568
1740790680,83822.06765327716,83822.16765327695
1740790740,83839.05044444444,83839.15266666668
1740790800,83851.4023076923,83851.50230769238
1740790860,83886.3289628179,83886.4315068492
1740790920,83903.13140495878,83903.2314049588
1740790980,83915.3892276424,83915.49268292698
1740791040,83907.45578947353,83907.55810526334
1740791100,83972.21992187508,83972.32070312503
1740791160,83993.23709016397,83993.33811475411
1740791220,83931.57970085465,83931.68205128176
1740791280,83869.49294605808,83869.59543568456
1740791340,83904.59888143158,83904.69888143173
1740791400,83932.50715883674,83932.60894854585
1740791460,83974.58695652196,83974.68695652176
1740791520,83992.62447058837,83992.72447058838
1740791580,83968.1078341014,83968.20783410133
1740791640,83954.0421052632,83954.14210526315
1740791700,84003.03955823291,84003.14136546195
1740791760,84011.62590909096,84011.72590909075
1740791820,83999.12936893215,83999.22961165055
1740791880,84000.84279069766,84000.94441860454
1740791940,84008.4495327104,84008.54953271024
1740792000,84052.84789029535,84052.94852320658
1740792060,84045.24717391306,84045.3471739129
1740792120,83976.12713936441,83976.22713936424
1740792180,84001.5560919541,84001.65793103445
1740792240,84025.20513447437,84025.30513447421
1740792300,83957.4482915718,83957.54988610462
1740792360,83899.42500000002,83899.52500000004
1740792420,83831.27058823536,83831.37058823521
1740792480,83841.41158798286,83841.5130901287
1740792540,83915.94583333311,83916.04649122806
1740792600,83914.51131639707,83914.61131639734
1740792660,83892.29460043197,83892.3980561556
1740792720,83899.63964646478,83899.73964646463
1740792780,83918.43400447429,83918.53646532433
1740792840,83960.81135371175,83960.91135371168
1740792900,83986.9210065645,83987.02100656435
