minute,bid,ask
1745999460,94538.3671875,94539.48046875
1745999520,94567.28607594936,94568.53670886076
1745999580,94600.69170984456,94601.75129533678
1745999640,94608.62182741117,94609.68274111675
1745999700,94626.78125,94627.8125
1745999760,94631.72639225182,94632.75544794189
1745999820,94632.0,94633.0
1745999880,94602.13452914798,94603.29147982063
1745999940,94613.51690821256,94614.70289855072
1746000000,94622.19365079365,94623.44126984126
1746000060,94639.37012987013,94640.5974025974
1746000120,94609.99709302325,94611.42441860466
1746000180,94584.3795180723,94585.42771084337
1746000240,94591.59546925567,94592.59870550162
1746000300,94590.45772594752,94591.46355685132
1746000360,94600.475,94601.5575
1746000420,94575.20857142858,94576.46285714286
1746000480,94560.4056122449,94561.44642857143
1746000540,94576.33769633507,94577.57068062827
1746000600,94628.35,94629.48157894737
1746000660,94655.8,94656.95
1746000720,94693.71261682243,94694.84345794392
1746000780,94695.44897959183,94696.66326530612
1746000840,94721.52396166134,94722.53354632588
1746000900,94733.46368715084,94734.6843575419
1746000960,94773.76540284361,94775.29146919432
1746001020,94760.36125654451,94761.43717277487
1746001080,94728.04810126583,94729.23544303798
1746001140,94720.53046594982,94721.81720430107
1746001200,94690.1065830721,94691.30721003134
1746001260,94674.47846889953,94675.58133971292
1746001320,94674.05194805194,94675.07792207792
1746001380,94669.22983870968,94670.31451612903
1746001440,94653.74770642201,94654.77981651376
1746001500,94637.00719424461,94638.07194244604
1746001560,94618.73148148147,94619.77314814815
1746001620,94598.2156133829,94599.28996282528
1746001680,94561.81626506025,94563.2921686747
1746001740,94539.98928571428,94541.23214285714
1746001800,94544.09065934065,94545.3021978022
1746001860,94588.27777777778,94589.29411764706
1746001920,94589.97265625,94591.08984375
1746001980,94553.7774566474,94554.89306358382
1746002040,94532.97922848664,94534.03560830861
1746002100,94560.16810344828,94561.4224137931
1746002160,94586.48471615721,94587.59388646288
1746002220,94600.31891891891,94601.32972972972
1746002280,94614.79918032787,94615.96721311475
1746002340,94621.0,94622.0
1746002400,94621.38970588235,94622.39338235294
1746002460,94608.19696969698,94609.43434343435
1746002520,94589.0,94590.0
1746002580,94593.44055944055,94594.48951048951
1746002640,94604.1962264151,94605.30188679245
1746002700,94616.89728096676,94618.0241691843
1746002760,94605.56944444444,94606.63194444444
1746002820,94590.97816593887,94591.98689956332
1746002880,94589.0,94590.0
1746002940,94587.91845493563,94588.91845493563
1746003000,94596.14325842696,94597.34550561798
1746003060,94617.64657534247,94618.98630136986
1746003120,94687.2196969697,94688.42424242424
1746003180,94709.0306122449,94710.07823129251
1746003240,94700.01917808219,94701.05753424657
1746003300,94691.03947368421,94692.06842105264
1746003360,94686.45426829268,94687.57012195123
1746003420,94713.72670807454,94714.7298136646
1746003480,94711.34364261168,94712.37113402062
1746003540,94715.66374269006,94717.21929824562
1746003600,94716.41438356164,94717.77054794521
1746003660,94760.91836734694,94761.93469387756
1746003720,94761.94482758621,94762.94482758621
1746003780,94772.57142857143,94773.62380952381
1746003840,94763.37538461538,94764.46461538461
1746003900,94783.48148148147,94784.6127946128
1746003960,94786.76515151515,94787.76515151515
1746004020,94787.0,94788.0
1746004080,94787.0,94788.0
1746004140,94774.13,94775.195
1746004200,94762.9889298893,94764.0479704797
1746004260,94715.68062827225,94716.79842931937
1746004320,94708.3343373494,94709.34337349398
1746004380,94706.0,94707.0
1746004440,94704.63604240282,94705.65371024735
1746004500,94694.8717948718,94695.90705128205
1746004560,94688.0,94689.0
1746004620,94669.32653061225,94670.39115646259
