"symbol","exchange","valid_from","multiplier","swap_funding_period","swap_funding_base_rate_bps","swap_funding_floor","swap_funding_cap","swap_funding_payment_frequency","swap_funding_clamp_range_high","swap_funding_clamp_range_low","swap_impact_notional"
PSWP-AVAX/USDT,hype,2025-01-06 16:04:34.778572000 +0800,1,,,,,,,,
PSWP-AVAX/USDT,binf,2025-01-09 10:40:33.823845000 +0800,1,,,,,,,,
PSWP-BTC/USDT,binf,2025-01-09 10:40:33.823845000 +0800,1,,,,,,,,
PSWP-AVAX/USDT,binf,2025-01-09 11:17:11.370612000 +0800,1,,,,,,,,
PSWP-BTC/USDT,binf,2025-01-09 11:17:11.370612000 +0800,1,,,,,,,,
PSWP-BTC/USDT,byde,2025-01-13 23:49:43.247154000 +0800,1,480,,,,,,,
PSWP-AVAX/USDT,byde,2025-01-13 23:51:23.314271000 +0800,1,480,,,,,,,
PSWP-BTC/USDT,byde,2025-01-13 23:52:29.757428000 +0800,1,480,,,,,,,
PSWP-BTC/USDT,byde,2025-01-14 06:52:44.071952000 +0800,1,480,,,,,,,
PSWP-BTC/USDT,byde,2025-01-14 10:18:56.859879000 +0800,1,480,,,,,,,
PSWP-BTC/USDT,byde,2025-01-14 10:28:15.534323000 +0800,1,480,,,,,,,
PSWP-PIPPIN/USDT,byde,2025-01-17 17:39:53.504727000 +0800,1,480,,,,,,,
PSWP-PIPPIN/USDT,byde,2025-01-21 17:04:05.194431000 +0800,1,480,,,,,,,
PSWP-BTC/USDT,okex,2025-01-22 14:17:47.248204000 +0800,0.01,,,,,,,,
PSWP-BTC/USDT,okex,2025-01-22 14:17:47.248204000 +0800,0.01,,,,,,,,
PSWP-BTC/USDT,okex,2025-01-22 14:18:18.093677000 +0800,0.01,,,,,,,,
PSWP-PIPPIN/USDT,gate,2025-01-24 17:01:09.332656000 +0800,10,0,0,0,0,,0,0,
PSWP-PIPPIN/USDT,binf,2025-01-24 18:15:04.885693000 +0800,1,,,,,,,,
PSWP-PIPPIN/USDT,binf,2025-01-25 01:38:49.590467000 +0800,1,,,,,,,,
PSWP-PIPPIN/USDT,byde,2025-01-25 01:38:49.590512000 +0800,1,480,,,,,,,
PSWP-PIPPIN/USDT,byde,2025-01-25 01:40:21.625800000 +0800,1,480,,,,,,,
PSWP-PIPPIN/USDT,binf,2025-01-25 01:40:21.633778000 +0800,1,,,,,,,,
PSWP-PIPPIN/USDT,gate,2025-01-25 01:42:04.516626000 +0800,10,0,0,0,0,,0,0,
PSWP-BTC/USDT,gate,2025-01-27 16:16:24.571085000 +0800,0.0001,0,0,0,0,,0,0,
PSWP-PIPPIN/USDT,okex,2025-01-27 17:11:27.907024000 +0800,10,,,,,,,,
PSWP-AVAX/USDT,gate,2025-01-27 17:24:10.301003000 +0800,1,0,0,0,0,,0,0,
PSWP-PIPPIN/USDT,gate,2025-01-27 17:24:48.836588000 +0800,10,0,0,0,0,,0,0,
PSWP-PIPPIN/USDT,okex,2025-01-27 19:30:21.018942000 +0800,10,,,,,,,,
PSWP-BTC/USDT,binf,2025-01-29 02:25:17.024742000 +0800,1,,,,,,,,
PSWP-AVAX/USDT,binf,2025-01-29 02:25:17.024742000 +0800,1,,,,,,,,
PSWP-PIPPIN/USDT,binf,2025-01-29 02:25:17.024742000 +0800,1,,,,,,,,
PSWP-BTC/USDT,byde,2025-01-31 13:45:22.309398000 +0800,1,480,,,,,,,
PSWP-PIPPIN/USDT,okex,2025-02-02 16:00:39.234241000 +0800,10,,,,,,,,
PSWP-BERA/USDT,binf,2025-02-04 12:21:31.338101000 +0800,1,,,,,,,,
PSWP-BERA/USDT,byde,2025-02-04 12:21:53.694585000 +0800,1,,,,,,,,
PSWP-BERA/USDT,gate,2025-02-04 12:23:11.406300000 +0800,1,,,,,,,,
